"","species","temp","injurylevel","recov","replicate","Acq..Date.Time","TRT","metabolites","conc","fold_change","log_foldchange","group"
"158","MD",34,"2/2","R",2,"2022/10/13 21:36","2/2 R","Alanine",5.590933138,0.713907621862143,-0.486190690245948,"Amino acids"
"159","MD",34,"2/2","R",3,"2022/10/20 04:20","2/2 R","Alanine",4.9889254,0.637037106338159,-0.650550685402789,"Amino acids"
"160","MD",34,"2/2","R",4,"2022/10/21 15:14","2/2 R","Alanine",5.154061142,0.658123329683307,-0.603570130303678,"Amino acids"
"161","MD",34,"2/2","R",5,"2022/11/25 17:57","2/2 R","Alanine",5.161749619,0.659105073194691,-0.601419619800777,"Amino acids"
"162","MD",34,"2/2","R",6,"2022/11/25 21:16","2/2 R","Alanine",6.32816494,0.808044931240741,-0.307492578796489,"Amino acids"
"163","MD",34,"2/2","R",7,"2022/11/18 15:39","2/2 R","Alanine",4.875773926,0.622588766907215,-0.683648547751732,"Amino acids"
"164","MD",34,"2/2","R",8,"2022/11/26 22:12","2/2 R","Alanine",3.781310923,0.482836517970943,-1.05039330051933,"Amino acids"
"165","MD",34,"F","D",1,"2022/10/12 05:38","F D","Alanine",11.63898287,1.48618457358055,0.57161329949253,"Amino acids"
"166","MD",34,"F","D",2,"2022/10/13 22:26","F D","Alanine",7.534132169,0.962035182107352,-0.0558384398487097,"Amino acids"
"167","MD",34,"F","D",3,"2022/10/20 05:10","F D","Alanine",6.63963551,0.847816684617189,-0.238175736683047,"Amino acids"
"168","MD",34,"F","D",4,"2022/10/21 16:04","F D","Alanine",7.501329509,0.957846602417106,-0.0621334657026012,"Amino acids"
"169","MD",34,"F","D",5,"2022/10/26 13:35","F D","Alanine",7.032137654,0.897935379525973,-0.155316470624648,"Amino acids"
"170","MD",34,"F","D",6,"2022/10/28 00:29","F D","Alanine",5.933996701,0.757713492253306,-0.400275657364973,"Amino acids"
"171","MD",34,"F","D",7,"2022/11/18 16:29","F D","Alanine",5.987409938,0.764533841569139,-0.387347731975714,"Amino acids"
"172","MD",34,"F","D",8,"2022/11/26 23:02","F D","Alanine",7.719844495,0.985748834503592,-0.0207079953182904,"Amino acids"
"173","MD",34,"F","R",1,"2022/10/12 06:28","F R","Alanine",10.24289808,1.30791816478151,0.387272275578078,"Amino acids"
"174","MD",34,"F","R",2,"2022/10/13 23:16","F R","Alanine",7.526257849,0.961029708257777,-0.0573470652476516,"Amino acids"
"175","MD",34,"F","R",3,"2022/10/20 05:59","F R","Alanine",6.424794392,0.820383569635519,-0.285629496588275,"Amino acids"
"176","MD",34,"F","R",4,"2022/10/21 16:53","F R","Alanine",7.065632714,0.90221237194182,-0.148461025171563,"Amino acids"
"177","MD",34,"F","R",5,"2022/10/26 14:25","F R","Alanine",8.181309518,1.044673416324,0.0630520004030242,"Amino acids"
"178","MD",34,"F","R",6,"2022/11/26 12:13","F R","Alanine",8.888134955,1.13492812950786,0.182600940260173,"Amino acids"
"179","MD",34,"F","R",7,"2022/11/18 17:19","F R","Alanine",5.596630278,0.714635091064229,-0.48472133788921,"Amino acids"
"180","MD",34,"F","R",8,"2022/11/26 16:22","F R","Alanine",5.411409571,0.690984213618519,-0.533275344034226,"Amino acids"
"181","MD",-5,"2/2","R",1,"2022/10/12 07:18","2/2 R","Alanine",4.687376183,0.598532212956466,-0.740499199895821,"Amino acids"
"182","MD",-5,"2/2","R",2,"2022/10/14 00:06","2/2 R","Alanine",4.747902732,0.60626086282395,-0.721989402635343,"Amino acids"
"183","MD",-5,"2/2","R",3,"2022/10/20 06:49","2/2 R","Alanine",3.907508824,0.498950758861173,-1.00303065097237,"Amino acids"
"184","MD",-5,"2/2","R",4,"2022/10/21 17:43","2/2 R","Alanine",4.233281925,0.540548805924344,-0.887503210718031,"Amino acids"
"185","MD",-5,"2/2","R",5,"2022/10/26 15:15","2/2 R","Alanine",3.538322021,0.451809205555654,-1.14621442912716,"Amino acids"
"186","MD",-5,"2/2","R",6,"2022/11/26 13:03","2/2 R","Alanine",1.143457484,0.146008366216114,-2.77587705761295,"Amino acids"
"187","MD",-5,"2/2","R",7,"2022/11/18 18:09","2/2 R","Alanine",3.50330766,0.447338213222973,-1.16056209113347,"Amino acids"
"188","MD",-5,"2/2","R",8,"2022/11/26 00:36","2/2 R","Alanine",4.407185356,0.562754577625504,-0.829422207817876,"Amino acids"
"189","MD",-5,"F","D",1,"2022/10/12 08:08","F D","Alanine",12.64047848,1.61406579333276,0.690699387649331,"Amino acids"
"190","MD",-5,"F","D",2,"2022/10/14 00:56","F D","Alanine",9.802272279,1.25165454832275,0.32383643911482,"Amino acids"
"191","MD",-5,"F","D",3,"2022/10/20 07:39","F D","Alanine",9.196685031,1.17432696429009,0.231834149576926,"Amino acids"
"192","MD",-5,"F","D",4,"2022/10/21 18:33","F D","Alanine",10.38152975,1.32562007668094,0.406667357633302,"Amino acids"
